study,experiment,n_initial,n_excluded,n,design,design_note,presentation,framing,source,a,b,c,d,pEC,pE_noC,deltaP,power,pC,pE,w_deltaP,Pearce,HPN,support_noisy_or,spport_noisy_and_not,EI,RW, rating,question,scale,anchors,reference,note,,,,,,,,,,,,,,,
Perales & Shanks (2003),2,,,18,within-subjects,every participant had to work on each of six different conditions,trial-by-trial,bidirectional,Table 4,2,8,2,8,0.20,0.20,0.00,0.00,0.50,0.20,0.04,0.04,0.03,-1.36,-0.28,-0.11,0.00,-15,asked from time to time to estimate the degree to which the radiation causes or prevents mutations.,–100 and +100,–100 = radiation prevents mutations; 0 = neither causes nor prevents; 100 = radiation causes mutations,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts
of the influence of power and contingency on causal judgement.
Quarterly Journal of Experimental Psychology, 56A, 977-1007.",Each condition consisted of as many 20-trial blocks as the participant needed to make a 100% confident judgment,,,,,,,,,,,,,,,
Perales & Shanks (2003),2,,,18,within-subjects,every participant had to work on each of six different conditions,trial-by-trial,bidirectional,Table 4,0,10,3,7,0.00,0.30,-0.30,-1.00,0.50,0.15,-0.24,-0.28,-0.65,-2.40,1.70,-0.50,-0.27,-61,asked from time to time to estimate the degree to which the radiation causes or prevents mutations.,–100 and +100,–100 = radiation prevents mutations; 0 = neither causes nor prevents; 100 = radiation causes mutations,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts
of the influence of power and contingency on causal judgement.
Quarterly Journal of Experimental Psychology, 56A, 977-1007.",Each condition consisted of as many 20-trial blocks as the participant needed to make a 100% confident judgment,,,,,,,,,,,,,,,
Perales & Shanks (2003),2,,,18,within-subjects,every participant had to work on each of six different conditions,trial-by-trial,bidirectional,Table 4,0,10,9,1,0.00,0.90,-0.90,-1.00,0.50,0.45,-0.73,-0.85,-0.88,-2.39,8.17,-0.93,-0.89,-78,asked from time to time to estimate the degree to which the radiation causes or prevents mutations.,–100 and +100,–100 = radiation prevents mutations; 0 = neither causes nor prevents; 100 = radiation causes mutations,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts
of the influence of power and contingency on causal judgement.
Quarterly Journal of Experimental Psychology, 56A, 977-1007.",Each condition consisted of as many 20-trial blocks as the participant needed to make a 100% confident judgment,,,,,,,,,,,,,,,
Perales & Shanks (2003),3,,,16,within-subjects,"every participant had to work on each of four different
conditions",trial-by-trial,bidirectional,Table 6,10,0,2,8,1.00,0.20,0.80,1.00,0.50,0.60,0.84,0.96,0.85,6.51,-2.40,0.87,0.82,83,instructed to stop studying butterflies’ records when they were 50% or 100% confident about their causal estimate.,–100 and +100,–100 = radiation prevents mutations; 0 = neither causes nor prevents; 100 = radiation causes mutations,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts
of the influence of power and contingency on causal judgement.
Quarterly Journal of Experimental Psychology, 56A, 977-1007.","trial-by-trial task: After every trial, participants had to press the button ""Press here for the next trial"" or ""Press here to stop""; so the participants could stop at any point to make their judgment.",,,,,,,,,,,,,,,
Perales & Shanks (2003),3,,,16,within-subjects,"every participant had to work on each of four different
conditions",trial-by-trial,bidirectional,Table 6,10,0,8,2,1.00,0.80,0.20,1.00,0.50,0.90,0.35,0.39,0.56,1.15,-2.40,0.49,0.22,53,instructed to stop studying butterflies’ records when they were 50% or 100% confident about their causal estimate.,–100 and +100,–100 = radiation prevents mutations; 0 = neither causes nor prevents; 100 = radiation causes mutations,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts
of the influence of power and contingency on causal judgement.
Quarterly Journal of Experimental Psychology, 56A, 977-1007.","trial-by-trial task: After every trial, participants had to press the button ""Press here for the next trial"" or ""Press here to stop""; so the participants could stop at any point to make their judgment.",,,,,,,,,,,,,,,
Shanks (2002),1,,,9,within-subjects,every participant had to work on each of three different conditions,trial-by-trial,bidirectional,Table 2,24,6,6,24,0.80,0.20,0.60,0.75,0.50,0.50,0.64,0.73,0.64,10.22,-2.95,0.66,0.60,68,"Please give an estimate of the degree to which you think the chemical causes or prevents mutations. Type in a number between -100 and +100, where - 100 indicates that the chemical prevents mutations, 0 indicates that it neither causes nor prevents mutations,
and 100 indicates that the chemical causes mutations. Intermediate numbers indicate intermediate levels of causal or preventive influence.",–100 and +100,-100 = chemical prevents mutations; 0 = neither causes or prevent; 100 = chemicals causes mutations,"Shanks, D. R. (2002). Tests of the power PC theory of causal induction with negative contingencies. Experimental Psychology, 49, 81-88.",After a block of 20 trials the participand were asked to estimate the degree to which the chemical causes mutation,,,,,,,,,,,,,,,
Shanks (2002),1,,,9,within-subjects,every participant had to work on each of three different conditions,trial-by-trial,bidirectional,Table 2,0,30,6,24,0.00,0.20,-0.20,-1.00,0.50,0.10,-0.16,-0.19,-0.61,-3.43,3.30,-0.43,-0.18,-35,"Please give an estimate of the degree to which you think the chemical causes or prevents mutations. Type in a number between -100 and +100, where - 100 indicates that the chemical prevents mutations, 0 indicates that it neither causes nor prevents mutations,
and 100 indicates that the chemical causes mutations. Intermediate numbers indicate intermediate levels of causal or preventive influence.",–100 and +100,-100 = chemical prevents mutations; 0 = neither causes or prevent; 100 = chemicals causes mutations,"Shanks, D. R. (2002). Tests of the power PC theory of causal induction with negative contingencies. Experimental Psychology, 49, 81-88.",After a block of 20 trials the participand were asked to estimate the degree to which the chemical causes mutation,,,,,,,,,,,,,,,
Shanks (2002),1,,,9,within-subjects,every participant had to work on each of three different conditions,trial-by-trial,bidirectional,Table 2,0,30,30,0,0.00,1.00,-1.00,-1.00,0.50,0.50,-0.81,-0.94,-0.91,-3.45,36.60,-1.00,-1.00,-99,"Please give an estimate of the degree to which you think the chemical causes or prevents mutations. Type in a number between -100 and +100, where - 100 indicates that the chemical prevents mutations, 0 indicates that it neither causes nor prevents mutations,
and 100 indicates that the chemical causes mutations. Intermediate numbers indicate intermediate levels of causal or preventive influence.",–100 and +100,-100 = chemical prevents mutations; 0 = neither causes or prevent; 100 = chemicals causes mutations,"Shanks, D. R. (2002). Tests of the power PC theory of causal induction with negative contingencies. Experimental Psychology, 49, 81-88.",After every block of 20 trials the participants were asked to estimate the degree to which the chemical causes mutation,,,,,,,,,,,,,,,
Shanks (2002),2,,,18,within-subjects,every participant had to work on each of three different conditions,trial-by-trial,bidirectional,Table 2,24,6,6,24,0.80,0.20,0.60,0.75,0.50,0.50,0.64,0.73,0.64,10.22,-2.96,0.66,0.60,67,"Please give an estimate of the degree to which you think the chemical causes or prevents mutations. Type in a number between -100 and +100, where - 100 indicates that the chemical prevents mutations, 0 indicates that it neither causes nor prevents mutations,
and 100 indicates that the chemical causes mutations. Intermediate numbers indicate intermediate levels of causal or preventive influence.",causal: –100 - +100; confidence: 0-100,causal direction: '-100 = chemical prevents mutations; 0 = neither causes or prevent; 100 = chemicals causes mutataions; confidence: 0 = complete guess; 100 = complete certainty,"Shanks, D. R. (2002). Tests of the power PC theory of causal induction with negative contingencies. Experimental Psychology, 49, 81-88.",,,,,,,,,,,,,,,,
Shanks (2002),2,,,18,within-subjects,every participant had to work on each of three different conditions,trial-by-trial,bidirectional,Table 2,3,27,10,20,0.10,0.33,-0.23,-0.70,0.50,0.22,-0.17,-0.20,-0.43,-2.93,2.09,-0.36,-0.21,-48,"Please give an estimate of the degree to which you think the chemical causes or prevents mutations. Type in a number between -100 and +100, where - 100 indicates that the chemical prevents mutations, 0 indicates that it neither causes nor prevents mutations,
and 100 indicates that the chemical causes mutations. Intermediate numbers indicate intermediate levels of causal or preventive influence.",causal: –100 - +100; confidence: 0-100,"causal direction: '-100 = chemical prevents mutations; 0 = neither causes or prevent; 100 = chemicals causes mutataions, confidence: 0 = complete guess; 100 = complete certainty","Shanks, D. R. (2002). Tests of the power PC theory of causal induction with negative contingencies. Experimental Psychology, 49, 81-88.",,,,,,,,,,,,,,,,
Shanks (2002),2,,,18,within-subjects,every participant had to work on each of three different conditions,trial-by-trial,bidirectional,Table 2,9,21,30,0,0.30,1.00,-0.70,-0.70,0.50,0.65,-0.51,-0.60,-0.60,-2.84,17.43,-0.52,-0.73,-70,"Please give an estimate of the degree to which you think the chemical causes or prevents mutations. Type in a number between -100 and +100, where - 100 indicates that the chemical prevents mutations, 0 indicates that it neither causes nor prevents mutations,
and 100 indicates that the chemical causes mutations. Intermediate numbers indicate intermediate levels of causal or preventive influence.",causal: –100 - +100; confidence: 0-100,"causal direction: '-100 = chemical prevents mutations; 0 = neither causes or prevent; 100 = chemicals causes mutataions, confidence: 0 = complete guess; 100 = complete certainty","Shanks, D. R. (2002). Tests of the power PC theory of causal induction with negative contingencies. Experimental Psychology, 49, 81-88.",,,,,,,,,,,,,,,,
Lober & Shanks (2000),1,28,1,27,within-subjects,every participant had to work on each of the three different conditions,trial-by-trial,generative,Table 2,21,9,0,30,0.70,0.00,0.70,0.70,0.50,0.35,0.70,0.80,0.65,17.41,-2.85,0.68,0.67,68,"First, the participants were asked to ""predict whether or not the animal's DNA will show a genetic mutation""; Participants responded with specific keys to indicate ""Yes"" or ""No"". Then, for every block of 10 trials: ""Please give an astimate of the degree to which you think the chemical causes mutations""",0-100,0 = chemicals does not cause mutations at all; 100 = chemicals causes a mutation every time,"Lober, K., & Shanks, D. R. (2000). Is causal induction based on causal power? Critique of Cheng (1997). Psychological Review, 107, 195-212.","After every block of 10 trials, participants were asked to estimate the degree to which the chemical caused mutations",,,,,,,,,,,,,,,
Lober & Shanks (2000),1,28,1,27,within-subjects,every participant had to work on each of the three different conditions,trial-by-trial,generative,Table 2,24,6,10,20,0.80,0.33,0.47,0.70,0.50,0.57,0.53,0.60,0.57,5.95,-2.87,0.57,0.47,63,"First, the participants were asked to ""predict whether or not the animal's DNA will show a genetic mutation""; Participants responded with specific keys to indicate ""Yes"" or ""No"". Then, for every block of 10 trials: ""Please give an astimate of the degree to which you think the chemical causes mutations""",0-100,0 = chemicals does not cause mutations at all; 100 = chemicals causes a mutation every time,"Lober, K., & Shanks, D. R. (2000). Is causal induction based on causal power? Critique of Cheng (1997). Psychological Review, 107, 195-212.","After every block of 10 trials, participants were asked to estimate the degree to which the chemical caused mutations",,,,,,,,,,,,,,,
Lober & Shanks (2000),1,28,1,27,within-subjects,every participant had to work on each of the three different conditions,trial-by-trial,generative,Table 2,27,3,20,10,0.90,0.67,0.23,0.70,0.50,0.78,0.36,0.40,0.48,2.09,-2.92,0.46,0.25,55,"First, the participants were asked to ""predict whether or not the animal's DNA will show a genetic mutation""; Participants responded with specific keys to indicate ""Yes"" or ""No"". Then, for every block of 10 trials: ""Please give an astimate of the degree to which you think the chemical causes mutations""",0-100,0 = chemicals does not cause mutations at all; 100 = chemicals causes a mutation every time,"Lober, K., & Shanks, D. R. (2000). Is causal induction based on causal power? Critique of Cheng (1997). Psychological Review, 107, 195-212.","After every block of 10 trials, participants were asked to estimate the degree to which the chemical caused mutations",,,,,,,,,,,,,,,
Lober & Shanks (2000),2,,,16,within-subjects,every participant hat to work on every four conditions,trial-by-trial,generative,Table 2,28,0,0,28,1.00,0.00,1.00,1.00,0.50,0.50,1.00,1.15,0.93,33.94,-3.37,1.00,1.00,96,"First, the participants were asked to ""predict whether or not the animal's DNA will show a genetic mutation""; Participants responded with specific keys to indicate ""Yes"" or ""No"". Then, after the trials: ""Please give an estimate of the degree to which you think the chemical causes mutations""",0-100,0 = chemicals does not cause mutations at all; 100 = chemicals causes a mutation,"Lober, K., & Shanks, D. R. (2000). Is causal induction based on causal power? Critique of Cheng (1997). Psychological Review, 107, 195-212.","Participants gave their estimates after 19, 38, 56 trials; experiment in german",,,,,,,,,,,,,,,
Lober & Shanks (2000),2,,,16,within-subjects,every participant hat to work on every four conditions,trial-by-trial,generative,Table 2,28,0,7,21,1.00,0.25,0.75,1.00,0.50,0.63,0.80,0.91,0.83,18.47,-3.38,0.84,0.78,87,"First, the participants were asked to ""predict whether or not the animal's DNA will show a genetic mutation""; Participants responded with specific keys to indicate ""Yes"" or ""No"". Then, after the trials: ""Please give an estimate of the degree to which you think the chemical causes mutations""",0-100,0 = chemicals does not cause mutations at all; 100 = chemicals causes a mutation,"Lober, K., & Shanks, D. R. (2000). Is causal induction based on causal power? Critique of Cheng (1997). Psychological Review, 107, 195-212.","Participants gave their estimates after 19, 38, 56 trials; experiment in german",,,,,,,,,,,,,,,
Lober & Shanks (2000),2,,,16,within-subjects,every participant hat to work on every four conditions,trial-by-trial,generative,Table 2,28,0,14,14,1.00,0.50,0.50,1.00,0.50,0.75,0.60,0.68,0.72,9.92,-3.38,0.68,0.54,78,"First, the participants were asked to ""predict whether or not the animal's DNA will show a genetic mutation""; Participants responded with specific keys to indicate ""Yes"" or ""No"". Then, after the trials: ""Please give an estimate of the degree to which you think the chemical causes mutations""",0-100,0 = chemicals does not cause mutations at all; 100 = chemicals causes a mutation,"Lober, K., & Shanks, D. R. (2000). Is causal induction based on causal power? Critique of Cheng (1997). Psychological Review, 107, 195-212.","Participants gave their estimates after 19, 38, 56 trials; experiment in german",,,,,,,,,,,,,,,
Lober & Shanks (2000),2,,,16,within-subjects,every participant hat to work on every four conditions,trial-by-trial,generative,Table 2,28,0,21,7,1.00,0.75,0.25,1.00,0.50,0.88,0.39,0.44,0.59,3.99,-3.36,0.52,0.28,65,"First, the participants were asked to ""predict whether or not the animal's DNA will show a genetic mutation""; Participants responded with specific keys to indicate ""Yes"" or ""No"". Then, after the trials: ""Please give an estimate of the degree to which you think the chemical causes mutations""",0-100,0 = chemicals does not cause mutations at all; 100 = chemicals causes a mutation,"Lober, K., & Shanks, D. R. (2000). Is causal induction based on causal power? Critique of Cheng (1997). Psychological Review, 107, 195-212.","Participants gave their estimates after 19, 38, 56 trials; experiment in german",,,,,,,,,,,,,,,
Lober & Shanks (2000),3,26,2,24,within-subjects,every participant hat to work on every four conditions,trial-by-trial,generative,Table 2,30,0,18,12,1.00,0.60,0.40,1.00,0.50,0.80,0.51,0.58,0.67,7.88,-3.45,0.61,0.44,64,"First, the participants were asked to ""predict whether or not the animal's DNA will show a genetic mutation""; Participants responded with specific keys to indicate ""Yes"" or ""No"". Then, for every block of 20 trials: ""Please give an estimate of the degree to which you think the chemical causes mutations""",0-100,0 = chemicals does not cause mutations at all; 100 = chemicals causes a mutation,"Lober, K., & Shanks, D. R. (2000). Is causal induction based on causal power? Critique of Cheng (1997). Psychological Review, 107, 195-212.",60 instead of 56 trials; estimates after each block of 20 trials; experiment 3 in englisch,,,,,,,,,,,,,,,
Lober & Shanks (2000),3,26,2,24,within-subjects,every participant hat to work on every four conditions,trial-by-trial,generative,Table 2,24,6,12,18,0.80,0.40,0.40,0.67,0.50,0.60,0.48,0.54,0.53,4.35,-2.82,0.52,0.41,54,"First, the participants were asked to ""predict whether or not the animal's DNA will show a genetic mutation""; Participants responded with specific keys to indicate ""Yes"" or ""No"". Then, for every block of 20 trials: ""Please give an estimate of the degree to which you think the chemical causes mutations""",0-100,0 = chemicals does not cause mutations at all; 100 = chemicals causes a mutation,"Lober, K., & Shanks, D. R. (2000). Is causal induction based on causal power? Critique of Cheng (1997). Psychological Review, 107, 195-212.",60 instead of 56 trials; estimates after each block of 20 trials; experiment 3 in englisch,,,,,,,,,,,,,,,
Lober & Shanks (2000),3,26,2,24,within-subjects,every participant hat to work on every four conditions,trial-by-trial,generative,Table 2,12,18,0,30,0.40,0.00,0.40,0.40,0.50,0.20,0.40,0.46,0.37,6.98,-2.13,0.31,0.37,38,"First, the participants were asked to ""predict whether or not the animal's DNA will show a genetic mutation""; Participants responded with specific keys to indicate ""Yes"" or ""No"". Then, for every block of 20 trials: ""Please give an estimate of the degree to which you think the chemical causes mutations""",0-100,0 = chemicals does not cause mutations at all; 100 = chemicals causes a mutation,"Lober, K., & Shanks, D. R. (2000). Is causal induction based on causal power? Critique of Cheng (1997). Psychological Review, 107, 195-212.",60 instead of 56 trials; estimates after each block of 20 trials; experiment 3 in englisch,,,,,,,,,,,,,,,
Lober & Shanks (2000),3,26,2,24,within-subjects,every participant hat to work on every four conditions,trial-by-trial,generative,Table 2,27,3,25,5,0.90,0.83,0.07,0.40,0.50,0.87,0.23,0.25,0.35,0.15,-2.57,0.36,0.07,34,"First, the participants were asked to ""predict whether or not the animal's DNA will show a genetic mutation""; Participants responded with specific keys to indicate ""Yes"" or ""No"". Then, for every block of 20 trials: ""Please give an estimate of the degree to which you think the chemical causes mutations""",0-100,0 = chemicals does not cause mutations at all; 100 = chemicals causes a mutation,"Lober, K., & Shanks, D. R. (2000). Is causal induction based on causal power? Critique of Cheng (1997). Psychological Review, 107, 195-212.",60 instead of 56 trials; estimates after each block of 20 trials; experiment 3 in englisch,,,,,,,,,,,,,,,
Collins & Shanks (2006),1,,,40,mixed-design,contingency conditions were within-subject; probe questions (causal vs. frequentist counterfactual vs. single-event counterfactual question) between-subject,trial-by-trial,generative,,30,15,0,45,0.67,0.00,0.67,0.67,0.50,0.33,0.67,0.76,0.62,25.17,-3.16,0.64,0.63,63,"Prediction question: participants were asked whether the butterfly's DNA would exhibit a mutation and answer either ""YES, the mutation will occur"" or ""NO, the mutation will not occur.""; causal probe question: “To what extent does radiation cause mutations?”;
frequentist counterfactual probe question: ""How many out of 100 butterflies, none of which would show a mutation in the test if unradiated, do you estimate would show a mutation if radiated?”; single-event counterfactual question: “How likely would a butterfly, which would not show a mutation in the test if unradiated, be to show a mutation in the test if radiated?”
After the judgment scale, the participants were required to indicate how confident they were in the judgment",0-100,"judgment scale for frequentist counterfactual probe question and single-event counterfactual question: 0, 50 or 100; confident scale: ""Nor at all confident"", ""Mildly confident"" or ""Very confident""","Collins, D. J., & Shanks, D. R. (2006). Conformity to the power PC theory of causal induction depends on type of probe question. Quarterly Journal of Experimental Psychology, 59, 225-232.","After 40 and 80 trials in each series, participants make a judgment about the effect of a radiation treatment",,,,,,,,,,,,,,,
Collins & Shanks (2006),1,,,40,mixed-design,contingency conditions were within-subject; probe questions (causal vs. frequentist counterfactual vs. single-event counterfactual question) between-subject,trial-by-trial,generative,,36,9,18,27,0.80,0.40,0.40,0.67,0.50,0.60,0.48,0.54,0.53,6.73,-3.18,0.52,0.41,55,"Prediction question: participants were asked whether the butterfly's DNA would exhibit a mutation and answer either ""YES, the mutation will occur"" or ""NO, the mutation will not occur.""; causal probe question: “To what extent does radiation cause mutations?”;
frequentist counterfactual probe question: ""How many out of 100 butterflies, none of which would show a mutation in the test if unradiated, do you estimate would show a mutation if radiated?”; single-event counterfactual question: “How likely would a butterfly, which would not show a mutation in the test if unradiated, be to show a mutation in the test if radiated?”
After the judgment scale, the participants were required to indicate how confident they were in the judgment",0-100,"judgment scale for frequentist counterfactual probe question and single-event counterfactual question: 0, 50 or 100; confident scale: ""Nor at all confident"", ""Mildly confident"" or ""Very confident""","Collins, D. J., & Shanks, D. R. (2006). Conformity to the power PC theory of causal induction depends on type of probe question. Quarterly Journal of Experimental Psychology, 59, 225-232.",,,,,,,,,,,,,,,,
Collins & Shanks (2006),1,,,40,mixed-design,contingency conditions were within-subject; probe questions (causal vs. frequentist counterfactual vs. single-event counterfactual question) between-subject,trial-by-trial,generative,,18,27,0,45,0.40,0.00,0.40,0.40,0.50,0.20,0.40,0.46,0.37,11.48,-2.52,0.31,0.37,41,"Prediction question: participants were asked whether the butterfly's DNA would exhibit a mutation and answer either ""YES, the mutation will occur"" or ""NO, the mutation will not occur.""; causal probe question: “To what extent does radiation cause mutations?”;
frequentist counterfactual probe question: ""How many out of 100 butterflies, none of which would show a mutation in the test if unradiated, do you estimate would show a mutation if radiated?”; single-event counterfactual question: “How likely would a butterfly, which would not show a mutation in the test if unradiated, be to show a mutation in the test if radiated?”
After the judgment scale, the participants were required to indicate how confident they were in the judgment",0-100,"judgment scale for frequentist counterfactual probe question and single-event counterfactual question: 0, 50 or 100; confident scale: ""Nor at all confident"", ""Mildly confident"" or ""Very confident""","Collins, D. J., & Shanks, D. R. (2006). Conformity to the power PC theory of causal induction depends on type of probe question. Quarterly Journal of Experimental Psychology, 59, 225-232.",,,,,,,,,,,,,,,,
Collins & Shanks (2006),2,,,40,mixed-design,contingency conditions were within-subject; probe questions (causal vs. frequentist counterfactual vs. single-event counterfactual question) between-subject,trial-by-trial,generative,Table1,32,8,4,36,0.80,0.10,0.70,0.78,0.50,0.45,0.72,0.82,0.69,20.14,-3.29,0.72,0.69,82,"Prediction question: participants were asked whether the butterfly's DNA would exhibit a mutation and answer either ""YES, the mutation will occur"" or ""NO, the mutation will not occur.""; causal probe question: “To what extent does radiation cause mutations?”;
frequentist counterfactual probe question: ""How many out of 100 butterflies, none of which would show a mutation in the test if unradiated, do you estimate would show a mutation if radiated?”; single-event counterfactual question: “How likely would a butterfly, which would not show a mutation in the test if unradiated, be to show a mutation in the test if radiated?”
After the judgment scale, the participants were required to indicate how confident they were in the judgment",0-100,"judgment scale for frequentist counterfactual probe question and single-event counterfactual question: 0, 50 or 100; confident scale: ""Nor at all confident"", ""Mildly confident"" or ""Very confident""","Collins, D. J., & Shanks, D. R. (2006). Conformity to the power PC theory of causal induction depends on type of probe question. Quarterly Journal of Experimental Psychology, 59, 225-232.",,,,,,,,,,,,,,,,
Collins & Shanks (2006),2,,,40,mixed-design,contingency conditions were within-subject; probe questions (causal vs. frequentist counterfactual vs. single-event counterfactual question) between-subject,trial-by-trial,generative,Table 1,36,4,22,18,0.90,0.55,0.35,0.78,0.50,0.73,0.45,0.51,0.56,5.66,-3.32,0.54,0.37,63,"Prediction question: participants were asked whether the butterfly's DNA would exhibit a mutation and answer either ""YES, the mutation will occur"" or ""NO, the mutation will not occur.""; causal probe question: “To what extent does radiation cause mutations?”;
frequentist counterfactual probe question: ""How many out of 100 butterflies, none of which would show a mutation in the test if unradiated, do you estimate would show a mutation if radiated?”; single-event counterfactual question: “How likely would a butterfly, which would not show a mutation in the test if unradiated, be to show a mutation in the test if radiated?”
After the judgment scale, the participants were required to indicate how confident they were in the judgment",0-100,"judgment scale for frequentist counterfactual probe question and single-event counterfactual question: 0, 50 or 100; confident scale: ""Nor at all confident"", ""Mildly confident"" or ""Very confident""","Collins, D. J., & Shanks, D. R. (2006). Conformity to the power PC theory of causal induction depends on type of probe question. Quarterly Journal of Experimental Psychology, 59, 225-232.",,,,,,,,,,,,,,,,
