id,study,experiment,n,framing,N_11,N_10,N_01,N_00,pEC,pEnoC,deltaP,power,sample_direction,rating,reference
11,Perales & Shanks (2003),2,18,bidirectional,2,8,2,8,0.2,0.2,0,0,zero,-15,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts of the influence of power and contingency on causal judgement. Quarterly Journal of Experimental Psychology, 56A, 977-1007."
12,Perales & Shanks (2003),2,18,bidirectional,0,10,3,7,0,0.3,-0.3,1,preventive,-61,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts of the influence of power and contingency on causal judgement. Quarterly Journal of Experimental Psychology, 56A, 977-1007."
13,Perales & Shanks (2003),2,18,bidirectional,0,10,9,1,0,0.9,-0.9,1,preventive,-78,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts of the influence of power and contingency on causal judgement. Quarterly Journal of Experimental Psychology, 56A, 977-1007."
14,Perales & Shanks (2003),3,16,bidirectional,10,0,2,8,1,0.2,0.8,1,generative,83,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts of the influence of power and contingency on causal judgement. Quarterly Journal of Experimental Psychology, 56A, 977-1007."
15,Perales & Shanks (2003),3,16,bidirectional,10,0,8,2,1,0.8,0.19999999999999996,1,generative,53,"Perales, J. C., & Shanks, D. R. (2003). Normative and descriptive accounts of the influence of power and contingency on causal judgement. Quarterly Journal of Experimental Psychology, 56A, 977-1007."
16,Shanks (2002),1,9,bidirectional,24,6,6,24,0.8,0.2,0.6000000000000001,0.7500000000000001,generative,68,"Shanks, D. R. (2002). Tests of the power PC theory of causal induction with negative contingencies. Experimental Psychology, 49, 81–88."
17,Shanks (2002),1,9,bidirectional,0,30,6,24,0,0.2,-0.2,1,preventive,-35,"Shanks, D. R. (2002). Tests of the power PC theory of causal induction with negative contingencies. Experimental Psychology, 49, 81–88."
18,Shanks (2002),1,9,bidirectional,0,30,30,0,0,1,-1,1,preventive,-99,"Shanks, D. R. (2002). Tests of the power PC theory of causal induction with negative contingencies. Experimental Psychology, 49, 81–88."
19,Shanks (2002),2,18,bidirectional,24,6,6,24,0.8,0.2,0.6000000000000001,0.7500000000000001,generative,67,"Shanks, D. R. (2002). Tests of the power PC theory of causal induction with negative contingencies. Experimental Psychology, 49, 81–88."
20,Shanks (2002),2,18,bidirectional,3,27,10,20,0.1,0.3333333333333333,-0.2333333333333333,0.7,preventive,-48,"Shanks, D. R. (2002). Tests of the power PC theory of causal induction with negative contingencies. Experimental Psychology, 49, 81–88."
21,Shanks (2002),2,18,bidirectional,9,21,30,0,0.3,1,-0.7,0.7,preventive,-70,"Shanks, D. R. (2002). Tests of the power PC theory of causal induction with negative contingencies. Experimental Psychology, 49, 81–88."
22,Lober & Shanks (2000),1,27,generative,21,9,0,30,0.7,0,0.7,0.7,generative,68,"Lober, K., & Shanks, D. R. (2000). Is causal induction based on causal power? Critique of Cheng (1997). Psychological Review, 107, 195–212."
23,Lober & Shanks (2000),1,27,generative,24,6,10,20,0.8,0.3333333333333333,0.46666666666666673,0.7000000000000001,generative,63,"Lober, K., & Shanks, D. R. (2000). Is causal induction based on causal power? Critique of Cheng (1997). Psychological Review, 107, 195–212."
24,Lober & Shanks (2000),1,27,generative,27,3,20,10,0.9,0.6666666666666666,0.2333333333333334,0.7000000000000001,generative,55,"Lober, K., & Shanks, D. R. (2000). Is causal induction based on causal power? Critique of Cheng (1997). Psychological Review, 107, 195–212."
25,Lober & Shanks (2000),2,16,generative,28,0,0,28,1,0,1,1,generative,96,"Lober, K., & Shanks, D. R. (2000). Is causal induction based on causal power? Critique of Cheng (1997). Psychological Review, 107, 195–212."
26,Lober & Shanks (2000),2,16,generative,28,0,7,21,1,0.25,0.75,1,generative,87,"Lober, K., & Shanks, D. R. (2000). Is causal induction based on causal power? Critique of Cheng (1997). Psychological Review, 107, 195–212."
27,Lober & Shanks (2000),2,16,generative,28,0,14,14,1,0.5,0.5,1,generative,78,"Lober, K., & Shanks, D. R. (2000). Is causal induction based on causal power? Critique of Cheng (1997). Psychological Review, 107, 195–212."
28,Lober & Shanks (2000),2,16,generative,28,0,21,7,1,0.75,0.25,1,generative,65,"Lober, K., & Shanks, D. R. (2000). Is causal induction based on causal power? Critique of Cheng (1997). Psychological Review, 107, 195–212."
29,Lober & Shanks (2000),3,24,generative,30,0,18,12,1,0.6,0.4,1,generative,64,"Lober, K., & Shanks, D. R. (2000). Is causal induction based on causal power? Critique of Cheng (1997). Psychological Review, 107, 195–212."
30,Lober & Shanks (2000),3,24,generative,24,6,12,18,0.8,0.4,0.4,0.6666666666666667,generative,54,"Lober, K., & Shanks, D. R. (2000). Is causal induction based on causal power? Critique of Cheng (1997). Psychological Review, 107, 195–212."
31,Lober & Shanks (2000),3,24,generative,12,18,0,30,0.4,0,0.4,0.4,generative,38,"Lober, K., & Shanks, D. R. (2000). Is causal induction based on causal power? Critique of Cheng (1997). Psychological Review, 107, 195–212."
32,Lober & Shanks (2000),3,24,generative,27,3,25,5,0.9,0.8333333333333334,0.06666666666666665,0.4,generative,34,"Lober, K., & Shanks, D. R. (2000). Is causal induction based on causal power? Critique of Cheng (1997). Psychological Review, 107, 195–212."
33,Collins & Shanks (2006),1,40,generative,30,15,0,45,0.6666666666666666,0,0.6666666666666666,0.6666666666666666,generative,63,"Collins, D. J., & Shanks, D. R. (2006). Conformity to the power PC theory of causal induction depends on type of probe question. Quarterly Journal of Experimental Psychology, 59, 225–232."
34,Collins & Shanks (2006),1,40,generative,36,9,18,27,0.8,0.4,0.4,0.6666666666666667,generative,55,"Collins, D. J., & Shanks, D. R. (2006). Conformity to the power PC theory of causal induction depends on type of probe question. Quarterly Journal of Experimental Psychology, 59, 225–232."
35,Collins & Shanks (2006),1,40,generative,18,27,0,45,0.4,0,0.4,0.4,generative,41,"Collins, D. J., & Shanks, D. R. (2006). Conformity to the power PC theory of causal induction depends on type of probe question. Quarterly Journal of Experimental Psychology, 59, 225–232."
36,Collins & Shanks (2006),2,40,generative,32,8,4,36,0.8,0.1,0.7000000000000001,0.7777777777777778,generative,82,"Collins, D. J., & Shanks, D. R. (2006). Conformity to the power PC theory of causal induction depends on type of probe question. Quarterly Journal of Experimental Psychology, 59, 225–232."
37,Collins & Shanks (2006),2,40,generative,36,4,22,18,0.9,0.55,0.35,0.7777777777777778,generative,63,"Collins, D. J., & Shanks, D. R. (2006). Conformity to the power PC theory of causal induction depends on type of probe question. Quarterly Journal of Experimental Psychology, 59, 225–232."
38,Collins & Shanks (2006),2,40,generative,14,26,0,40,0.35,0,0.35,0.35,generative,49,"Collins, D. J., & Shanks, D. R. (2006). Conformity to the power PC theory of causal induction depends on type of probe question. Quarterly Journal of Experimental Psychology, 59, 225–232."
39,Collins & Shanks (2006),2,40,generative,20,20,20,20,0.5,0.5,0,0,zero,32,"Collins, D. J., & Shanks, D. R. (2006). Conformity to the power PC theory of causal induction depends on type of probe question. Quarterly Journal of Experimental Psychology, 59, 225–232."
40,Vallée-Tourangeu et al. (1998),1,22,bidirectional,5,15,5,15,0.25,0.25,0,0,zero,-20,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65–84."
41,Vallée-Tourangeu et al. (1998),1,22,bidirectional,10,10,10,10,0.5,0.5,0,0,zero,1,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65–84."
42,Vallée-Tourangeu et al. (1998),1,22,bidirectional,15,5,15,5,0.75,0.75,0,0,zero,30,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65–84."
43,Vallée-Tourangeu et al. (1998),1,22,bidirectional,10,10,0,20,0.5,0,0.5,0.5,generative,19,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65–84."
44,Vallée-Tourangeu et al. (1998),1,22,bidirectional,15,5,5,15,0.75,0.25,0.5,0.6666666666666666,generative,55,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65–84."
45,Vallée-Tourangeu et al. (1998),1,22,bidirectional,20,0,10,10,1,0.5,0.5,1,generative,94,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65–84."
46,Vallée-Tourangeu et al. (1998),2,23,bidirectional,5,15,5,15,0.25,0.25,0,0,zero,-6,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65–84."
47,Vallée-Tourangeu et al. (1998),2,23,bidirectional,10,10,10,10,0.5,0.5,0,0,zero,16,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65–84."
48,Vallée-Tourangeu et al. (1998),2,23,bidirectional,15,5,15,5,0.75,0.75,0,0,zero,39,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65–84."
49,Vallée-Tourangeu et al. (1998),2,23,bidirectional,0,20,10,10,0,0.5,-0.5,1,preventive,-73,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65–84."
50,Vallée-Tourangeu et al. (1998),2,23,bidirectional,5,15,15,5,0.25,0.75,-0.5,0.6666666666666666,preventive,-28,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65–84."
51,Vallée-Tourangeu et al. (1998),2,23,bidirectional,10,10,20,0,0.5,1,-0.5,0.5,preventive,-15,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65–84."
52,Wasserman et al. (1996),1,100,bidirectional,6,6,6,6,0.5,0.5,0,0,zero,3,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207–264). San Diego: Academic Press."
53,Wasserman et al. (1996),1,100,bidirectional,3,3,9,9,0.5,0.5,0,0,zero,-1,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207–264). San Diego: Academic Press."
54,Wasserman et al. (1996),1,100,bidirectional,3,9,3,9,0.25,0.25,0,0,zero,-14,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207–264). San Diego: Academic Press."
55,Wasserman et al. (1996),1,100,bidirectional,9,3,9,3,0.75,0.75,0,0,zero,27,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207–264). San Diego: Academic Press."
56,Wasserman et al. (1996),1,100,bidirectional,9,9,3,3,0.5,0.5,0,0,zero,8,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207–264). San Diego: Academic Press."
57,Wasserman et al. (1996),1,100,bidirectional,3,5,6,10,0.375,0.375,0,0,zero,-4,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207–264). San Diego: Academic Press."
58,Wasserman et al. (1996),1,100,bidirectional,3,6,5,10,0.3333333333333333,0.3333333333333333,0,0,zero,-7,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207–264). San Diego: Academic Press."
59,Wasserman et al. (1996),1,100,bidirectional,5,3,10,6,0.625,0.625,0,0,zero,1,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207–264). San Diego: Academic Press."
60,Wasserman et al. (1996),1,100,bidirectional,5,10,3,6,0.3333333333333333,0.3333333333333333,0,0,zero,-17,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207–264). San Diego: Academic Press."
61,Wasserman et al. (1996),1,100,bidirectional,6,3,10,5,0.6666666666666666,0.6666666666666666,0,0,zero,-1,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207–264). San Diego: Academic Press."
62,Wasserman et al. (1996),1,100,bidirectional,6,10,3,5,0.375,0.375,0,0,zero,-11,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207–264). San Diego: Academic Press."
63,Wasserman et al. (1996),1,100,bidirectional,10,5,6,3,0.6666666666666666,0.6666666666666666,0,0,zero,30,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207–264). San Diego: Academic Press."
64,Wasserman et al. (1996),1,100,bidirectional,10,6,5,3,0.625,0.625,0,0,zero,29,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207–264). San Diego: Academic Press."
65,Wasserman et al. (1996),1,100,bidirectional,2,6,6,6,0.25,0.5,-0.25,0.5,preventive,-27,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207–264). San Diego: Academic Press."
66,Wasserman et al. (1996),1,100,bidirectional,6,2,6,6,0.75,0.5,0.25,0.5,generative,30,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207–264). San Diego: Academic Press."
67,Wasserman et al. (1996),1,100,bidirectional,6,6,2,6,0.5,0.25,0.25,0.3333333333333333,generative,18,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207–264). San Diego: Academic Press."
68,Wasserman et al. (1996),1,100,bidirectional,6,6,6,2,0.5,0.75,-0.25,0.3333333333333333,preventive,-6,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207–264). San Diego: Academic Press."
69,Wasserman et al. (1996),1,100,bidirectional,18,6,6,6,0.75,0.5,0.25,0.5,generative,60,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207–264). San Diego: Academic Press."
70,Wasserman et al. (1996),1,100,bidirectional,6,18,6,6,0.25,0.5,-0.25,0.5,preventive,-52,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207–264). San Diego: Academic Press."
71,Wasserman et al. (1996),1,100,bidirectional,6,6,18,6,0.5,0.75,-0.25,0.3333333333333333,preventive,-22,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207–264). San Diego: Academic Press."
72,Wasserman et al. (1996),1,100,bidirectional,6,6,6,18,0.5,0.25,0.25,0.3333333333333333,generative,23,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207–264). San Diego: Academic Press."
73,Buehner et al. (2003),1,57,preventive,0,8,8,0,0,1,-1,1,preventive,-93.58,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
74,Buehner et al. (2003),1,57,preventive,0,8,6,2,0,0.75,-0.75,1,preventive,-84.75,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
75,Buehner et al. (2003),1,57,preventive,2,6,8,0,0.25,1,-0.75,0.75,preventive,-71.54,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
76,Buehner et al. (2003),1,57,preventive,0,8,4,4,0,0.5,-0.5,1,preventive,-79.28,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
77,Buehner et al. (2003),1,57,preventive,2,6,6,2,0.25,0.75,-0.5,0.6666666666666666,preventive,-64.61,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
78,Buehner et al. (2003),1,57,preventive,4,4,8,0,0.5,1,-0.5,0.5,preventive,-45.95,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
79,Buehner et al. (2003),1,57,preventive,0,8,2,6,0,0.25,-0.25,1,preventive,-72,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
80,Buehner et al. (2003),1,57,preventive,2,6,4,4,0.25,0.5,-0.25,0.5,preventive,-58.56,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
81,Buehner et al. (2003),1,57,preventive,4,4,6,2,0.5,0.75,-0.25,0.3333333333333333,preventive,-42.86,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
82,Buehner et al. (2003),1,57,preventive,6,2,8,0,0.75,1,-0.25,0.25,preventive,-21.09,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
83,Buehner et al. (2003),1,57,preventive,0,8,0,8,0,0,0,0,zero,-45.12,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
84,Buehner et al. (2003),1,57,preventive,2,6,2,6,0.25,0.25,0,0,zero,-47.79,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
85,Buehner et al. (2003),1,57,preventive,4,4,4,4,0.5,0.5,0,0,zero,-33.89,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
86,Buehner et al. (2003),1,57,preventive,6,2,6,2,0.75,0.75,0,0,zero,-22.86,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
87,Buehner et al. (2003),1,57,preventive,8,0,8,0,1,1,0,0,zero,-8.68,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
88,Buehner et al. (2003),1,52,generative,8,0,0,8,1,0,1,1,generative,88.54,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
89,Buehner et al. (2003),1,52,generative,8,0,2,6,1,0.25,0.75,1,generative,76.54,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
90,Buehner et al. (2003),1,52,generative,6,2,0,8,0.75,0,0.75,0.75,generative,69.02,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
91,Buehner et al. (2003),1,52,generative,8,0,4,4,1,0.5,0.5,1,generative,70.85,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
92,Buehner et al. (2003),1,52,generative,6,2,2,6,0.75,0.25,0.5,0.6666666666666666,generative,54.02,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
93,Buehner et al. (2003),1,52,generative,4,4,0,8,0.5,0,0.5,0.5,generative,57,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
94,Buehner et al. (2003),1,52,generative,8,0,6,2,1,0.75,0.25,1,generative,57.62,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
