study,experiment,n_initial,n_excluded,n,design,design_note,presentation,framing,source,a,b,c,d,pEC,PE_noC,deltaP,power,pC,pE,w_deltaP,Pearce,HPN,support_noisy_or,spport_noisy_and_not,EI,RW,rating,question,scale,anchors,reference,note,comments,,,,comments,
White (2003),2,,,40,within-subjects,3 (pCI: .17 vs. .33 vs. .50) x 2 (1.0/ 0.5 for high vs. 0.5/ 0.0 for low occurrence rate) ANOVA with repeated measures on both factors and 2 (deltaP: .5 vs. .25) x 2 (.67 vs. .33 occurrence rate) ANOVA with repeated measures on both factors.,trial-by-trial,generative,"Table 4, 5",8,0,8,8,1.00,0.50,0.50,1.00,0.33,0.67,0.60,0.68,0.72,2.98,-2.20,0.50,0.54,59.85,Please rate the likelihood of this statement being right for Patient [initials]: manganese trioxide causes the patient’s allergic reactions.,0-100,0 = means that the statement is definitely not right; 100 = the statement is definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727","The experimenter was blind to the aims, hypotheses, and design of the study. In each trial, the experimenter indicated whether or not manganese trioxide was present. The participant then predicted whether or not an allergic reaction would occur: if the participant said “Yes” and an allergic reaction actually occurred: “Correct – an allergic reaction occurred”; if no allergic reaction occurred: “Incorrect – no allergic reaction occurred.” If the participant said “No” and an allergic reaction actually occurred: “Incorrect – an allergic reaction occurred”; if no allergic reaction occurred: “Correct – no allergic reaction occurred.” This procedure was repeated for 24 trials per task. After the 24 trials were completed, the participant was asked to rate the extent to which they agreed with the statement that manganese trioxide causes an allergic reaction in the patients.",,,,,,
White (2003),2,,,40,within-subjects,3 (pCI: .17 vs. .33 vs. .50) x 2 (1.0/ 0.5 for high vs. 0.5/ 0.0 for low occurrence rate) ANOVA with repeated measures on both factors and 2 (deltaP: .5 vs. .25) x 2 (.67 vs. .33 occurrence rate) ANOVA with repeated measures on both factors.,trial-by-trial,generative,"Table 4, 5",8,8,0,8,0.50,0.00,0.50,0.50,0.67,0.33,0.50,0.57,0.47,2.34,-1.63,0.34,0.46,46.65,Please rate the likelihood of this statement being right for Patient [initials]: manganese trioxide causes the patient’s allergic reactions.,0-100,0 = means that the statement is definitely not right; 100 = the statement is definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727","The experimenter was blind to the aims, hypotheses, and design of the study. In each trial, the experimenter indicated whether or not manganese trioxide was present. The participant then predicted whether or not an allergic reaction would occur: if the participant said “Yes” and an allergic reaction actually occurred: “Correct – an allergic reaction occurred”; if no allergic reaction occurred: “Incorrect – no allergic reaction occurred.” If the participant said “No” and an allergic reaction actually occurred: “Incorrect – an allergic reaction occurred”; if no allergic reaction occurred: “Correct – no allergic reaction occurred.” This procedure was repeated for 24 trials per task. After the 24 trials were completed, the participant was asked to rate the extent to which they agreed with the statement that manganese trioxide causes an allergic reaction in the patients.",,,,,,
White (2003),2,,,40,within-subjects,3 (pCI: .17 vs. .33 vs. .50) x 2 (1.0/ 0.5 for high vs. 0.5/ 0.0 for low occurrence rate) ANOVA with repeated measures on both factors and 2 (deltaP: .5 vs. .25) x 2 (.67 vs. .33 occurrence rate) ANOVA with repeated measures on both factors.,trial-by-trial,generative,"Table 4, 5",12,0,6,6,1.00,0.50,0.50,1.00,0.50,0.75,0.60,0.68,0.72,3.84,-2.56,0.68,0.54,73.8,Please rate the likelihood of this statement being right for Patient [initials]: manganese trioxide causes the patient’s allergic reactions.,0-100,0 = means that the statement is definitely not right; 100 = the statement is definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727","The experimenter was blind to the aims, hypotheses, and design of the study. In each trial, the experimenter indicated whether or not manganese trioxide was present. The participant then predicted whether or not an allergic reaction would occur: if the participant said “Yes” and an allergic reaction actually occurred: “Correct – an allergic reaction occurred”; if no allergic reaction occurred: “Incorrect – no allergic reaction occurred.” If the participant said “No” and an allergic reaction actually occurred: “Incorrect – an allergic reaction occurred”; if no allergic reaction occurred: “Correct – no allergic reaction occurred.” This procedure was repeated for 24 trials per task. After the 24 trials were completed, the participant was asked to rate the extent to which they agreed with the statement that manganese trioxide causes an allergic reaction in the patients.",,,,,,
White (2003),2,,,40,within-subjects,3 (pCI: .17 vs. .33 vs. .50) x 2 (1.0/ 0.5 for high vs. 0.5/ 0.0 for low occurrence rate) ANOVA with repeated measures on both factors and 2 (deltaP: .5 vs. .25) x 2 (.67 vs. .33 occurrence rate) ANOVA with repeated measures on both factors.,trial-by-trial,generative,"Table 4, 5",6,6,0,12,0.50,0.00,0.50,0.50,0.50,0.25,0.50,0.57,0.47,3.14,-1.62,0.44,0.46,55.22,Please rate the likelihood of this statement being right for Patient [initials]: manganese trioxide causes the patient’s allergic reactions.,0-100,0 = means that the statement is definitely not right; 100 = the statement is definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727","The experimenter was blind to the aims, hypotheses, and design of the study. In each trial, the experimenter indicated whether or not manganese trioxide was present. The participant then predicted whether or not an allergic reaction would occur: if the participant said “Yes” and an allergic reaction actually occurred: “Correct – an allergic reaction occurred”; if no allergic reaction occurred: “Incorrect – no allergic reaction occurred.” If the participant said “No” and an allergic reaction actually occurred: “Incorrect – an allergic reaction occurred”; if no allergic reaction occurred: “Correct – no allergic reaction occurred.” This procedure was repeated for 24 trials per task. After the 24 trials were completed, the participant was asked to rate the extent to which they agreed with the statement that manganese trioxide causes an allergic reaction in the patients.",,,,,,
White (2003),2,,,40,within-subjects,3 (pCI: .17 vs. .33 vs. .50) x 2 (1.0/ 0.5 for high vs. 0.5/ 0.0 for low occurrence rate) ANOVA with repeated measures on both factors and 2 (deltaP: .5 vs. .25) x 2 (.67 vs. .33 occurrence rate) ANOVA with repeated measures on both factors.,trial-by-trial,generative,"Table 4, 5",12,4,4,4,0.75,0.50,0.25,0.50,0.67,0.67,0.35,0.39,0.40,0.54,-1.84,0.49,0.26,61.12,Please rate the likelihood of this statement being right for Patient [initials]: manganese trioxide causes the patient’s allergic reactions.,0-100,0 = means that the statement is definitely not right; 100 = the statement is definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727","The experimenter was blind to the aims, hypotheses, and design of the study. In each trial, the experimenter indicated whether or not manganese trioxide was present. The participant then predicted whether or not an allergic reaction would occur: if the participant said “Yes” and an allergic reaction actually occurred: “Correct – an allergic reaction occurred”; if no allergic reaction occurred: “Incorrect – no allergic reaction occurred.” If the participant said “No” and an allergic reaction actually occurred: “Incorrect – an allergic reaction occurred”; if no allergic reaction occurred: “Correct – no allergic reaction occurred.” This procedure was repeated for 24 trials per task. After the 24 trials were completed, the participant was asked to rate the extent to which they agreed with the statement that manganese trioxide causes an allergic reaction in the patients.",,,,,,
White (2003),2,,,40,within-subjects,3 (pCI: .17 vs. .33 vs. .50) x 2 (1.0/ 0.5 for high vs. 0.5/ 0.0 for low occurrence rate) ANOVA with repeated measures on both factors and 2 (deltaP: .5 vs. .25) x 2 (.67 vs. .33 occurrence rate) ANOVA with repeated measures on both factors.,trial-by-trial,generative,"Table 4, 5",4,4,4,12,0.50,0.25,0.25,0.33,0.33,0.33,0.30,0.34,0.30,0.14,-1.20,0.31,0.24,42.9,Please rate the likelihood of this statement being right for Patient [initials]: manganese trioxide causes the patient’s allergic reactions.,0-100,0 = means that the statement is definitely not right; 100 = the statement is definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727","The experimenter was blind to the aims, hypotheses, and design of the study. In each trial, the experimenter indicated whether or not manganese trioxide was present. The participant then predicted whether or not an allergic reaction would occur: if the participant said “Yes” and an allergic reaction actually occurred: “Correct – an allergic reaction occurred”; if no allergic reaction occurred: “Incorrect – no allergic reaction occurred.” If the participant said “No” and an allergic reaction actually occurred: “Incorrect – an allergic reaction occurred”; if no allergic reaction occurred: “Correct – no allergic reaction occurred.” This procedure was repeated for 24 trials per task. After the 24 trials were completed, the participant was asked to rate the extent to which they agreed with the statement that manganese trioxide causes an allergic reaction in the patients.",,,,,,
White (2003),3,,,36,within-subjects,3 (pCI: .17 vs. .33 vs. .50) x 2 (1.0/ 0.5 for high vs. 0.5/ 0.0 for low occurrence rate) ANOVA with repeated measures on both factors and 2 (deltaP: .5 vs. .25) x 2 (.67 vs. .33 occurrence rate) ANOVA with repeated measures on both factors.,summary presentation procedure,generative,"Table 4, 5",4,0,10,10,1.00,0.50,0.50,1.00,0.17,0.58,0.60,0.68,0.72,1.61,-1.61,0.26,0.54,39.83,Please judge the likelihood that E263 causes allergic reactions in this patient,0-100,"0 =  E263 definitely does not cause allergic reactions in this patient,; 100 = E263 definitely does cause allergic reactions in this patient","White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),3,,,36,within-subjects,3 (pCI: .17 vs. .33 vs. .50) x 2 (1.0/ 0.5 for high vs. 0.5/ 0.0 for low occurrence rate) ANOVA with repeated measures on both factors and 2 (deltaP: .5 vs. .25) x 2 (.67 vs. .33 occurrence rate) ANOVA with repeated measures on both factors.,summary presentation procedure,generative,"Table 4, 5",10,10,0,4,0.50,0.00,0.50,0.50,0.83,0.42,0.50,0.57,0.47,1.07,-1.42,0.25,0.46,48.31,Please judge the likelihood that E263 causes allergic reactions in this patient,0-100,"0 =  E263 definitely does not cause allergic reactions in this patient,; 100 = E263 definitely does cause allergic reactions in this patient","White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),3,,,36,within-subjects,3 (pCI: .17 vs. .33 vs. .50) x 2 (1.0/ 0.5 for high vs. 0.5/ 0.0 for low occurrence rate) ANOVA with repeated measures on both factors and 2 (deltaP: .5 vs. .25) x 2 (.67 vs. .33 occurrence rate) ANOVA with repeated measures on both factors.,summary presentation procedure,generative,"Table 4, 5",8,0,8,8,1.00,0.50,0.50,1.00,0.33,0.67,0.60,0.68,0.72,2.98,-2.20,0.50,0.54,48.33,Please judge the likelihood that E263 causes allergic reactions in this patient,0-100,"0 =  E263 definitely does not cause allergic reactions in this patient,; 100 = E263 definitely does cause allergic reactions in this patient","White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),3,,,36,within-subjects,3 (pCI: .17 vs. .33 vs. .50) x 2 (1.0/ 0.5 for high vs. 0.5/ 0.0 for low occurrence rate) ANOVA with repeated measures on both factors and 2 (deltaP: .5 vs. .25) x 2 (.67 vs. .33 occurrence rate) ANOVA with repeated measures on both factors.,summary presentation procedure,generative,"Table 4, 5",8,8,0,8,0.50,0.00,0.50,0.50,0.67,0.33,0.50,0.57,0.47,2.34,-1.63,0.34,0.46,49.72,Please judge the likelihood that E263 causes allergic reactions in this patient,0-100,"0 =  E263 definitely does not cause allergic reactions in this patient,; 100 = E263 definitely does cause allergic reactions in this patient","White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),3,,,36,within-subjects,3 (pCI: .17 vs. .33 vs. .50) x 2 (1.0/ 0.5 for high vs. 0.5/ 0.0 for low occurrence rate) ANOVA with repeated measures on both factors and 2 (deltaP: .5 vs. .25) x 2 (.67 vs. .33 occurrence rate) ANOVA with repeated measures on both factors.,summary presentation procedure,generative,"Table 4, 5",12,0,6,6,1.00,0.50,0.50,1.00,0.50,0.75,0.60,0.68,0.72,3.84,-2.56,0.68,0.54,56.31,Please judge the likelihood that E263 causes allergic reactions in this patient,0-100,"0 =  E263 definitely does not cause allergic reactions in this patient,; 100 = E263 definitely does cause allergic reactions in this patient","White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),3,,,36,within-subjects,3 (pCI: .17 vs. .33 vs. .50) x 2 (1.0/ 0.5 for high vs. 0.5/ 0.0 for low occurrence rate) ANOVA with repeated measures on both factors and 2 (deltaP: .5 vs. .25) x 2 (.67 vs. .33 occurrence rate) ANOVA with repeated measures on both factors.,summary presentation procedure,generative,"Table 4, 5",6,6,0,12,0.50,0.00,0.50,0.50,0.50,0.25,0.50,0.57,0.47,3.14,-1.62,0.44,0.46,47.53,Please judge the likelihood that E263 causes allergic reactions in this patient,0-100,"0 =  E263 definitely does not cause allergic reactions in this patient,; 100 = E263 definitely does cause allergic reactions in this patient","White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),3,,,36,within-subjects,3 (pCI: .17 vs. .33 vs. .50) x 2 (1.0/ 0.5 for high vs. 0.5/ 0.0 for low occurrence rate) ANOVA with repeated measures on both factors and 2 (deltaP: .5 vs. .25) x 2 (.67 vs. .33 occurrence rate) ANOVA with repeated measures on both factors.,summary presentation procedure,generative,"Table 4, 5",12,4,4,4,0.75,0.50,0.25,0.50,0.67,0.67,0.35,0.39,0.40,0.54,-1.84,0.49,0.26,50.86,Please judge the likelihood that E263 causes allergic reactions in this patient,0-100,"0 =  E263 definitely does not cause allergic reactions in this patient,; 100 = E263 definitely does cause allergic reactions in this patient","White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),3,,,36,within-subjects,3 (pCI: .17 vs. .33 vs. .50) x 2 (1.0/ 0.5 for high vs. 0.5/ 0.0 for low occurrence rate) ANOVA with repeated measures on both factors and 2 (deltaP: .5 vs. .25) x 2 (.67 vs. .33 occurrence rate) ANOVA with repeated measures on both factors.,summary presentation procedure,generative,"Table 4, 5",4,4,4,12,0.50,0.25,0.25,0.33,0.33,0.33,0.30,0.34,0.30,0.14,-1.20,0.31,0.24,34.22,Please judge the likelihood that E263 causes allergic reactions in this patient,0-100,"0 =  E263 definitely does not cause allergic reactions in this patient,; 100 = E263 definitely does cause allergic reactions in this patient","White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),4,,,42,within-subjects,"2 (frequency: 24 vs. 48 instances) x 2 (pCI: .17 vs. .50) x 2 (high vs. low occurrence rate)
within-subjects ANOVA",simultaneous,generative,"Table 7,8",4,0,10,10,1.00,0.50,0.50,,0.17,0.58,,,,,,,,44.03,Please rate the likelihood of this statement being right for patient [initials]: E263 causes the patient’s allergic reactions.,0-100,0 =  definitely not right; 100 = definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),4,,,42,within-subjects,"2 (frequency; 24 vs. 48 instances) x 2 (pCI; .17 vs. .50) x 2 (high vs. low occurrence rate)
within-subjects ANOVA",simultaneous,generative,"Table 7,8",8,0,20,20,1.00,0.50,0.50,,0.17,0.58,,,,,,,,44.76,Please rate the likelihood of this statement being right for patient [initials]: E263 causes the patient’s allergic reactions.,0-100,0 =  definitely not right; 100 = definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),4,,,42,within-subjects,"2 (frequency; 24 vs. 48 instances) x 2 (pCI; .17 vs. .50) x 2 (high vs. low occurrence rate)
within-subjects ANOVA",simultaneous,generative,"Table 7,8",10,10,0,4,0.50,0.00,0.50,,0.83,0.42,,,,,,,,50.24,Please rate the likelihood of this statement being right for patient [initials]: E263 causes the patient’s allergic reactions.,0-100,0 =  definitely not right; 100 = definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),4,,,42,within-subjects,"2 (frequency; 24 vs. 48 instances) x 2 (pCI; .17 vs. .50) x 2 (high vs. low occurrence rate)
within-subjects ANOVA",simultaneous,generative,"Table 7,8",20,20,0,8,0.50,0.00,0.50,,0.83,0.42,,,,,,,,54.64,Please rate the likelihood of this statement being right for patient [initials]: E263 causes the patient’s allergic reactions.,0-100,0 =  definitely not right; 100 = definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),4,,,42,within-subjects,"2 (frequency; 24 vs. 48 instances) x 2 (pCI; .17 vs. .50) x 2 (high vs. low occurrence rate)
within-subjects ANOVA",simultaneous,generative,"Table 7,8",12,0,6,6,1.00,0.50,0.50,,0.50,0.75,,,,,,,,67.07,Please rate the likelihood of this statement being right for patient [initials]: E263 causes the patient’s allergic reactions.,0-100,0 =  definitely not right; 100 = definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),4,,,42,within-subjects,"2 (frequency; 24 vs. 48 instances) x 2 (pCI; .17 vs. .50) x 2 (high vs. low occurrence rate)
within-subjects ANOVA",simultaneous,generative,"Table 7,8",24,0,12,12,1.00,0.50,0.50,,0.50,0.75,,,,,,,,70.02,Please rate the likelihood of this statement being right for patient [initials]: E263 causes the patient’s allergic reactions.,0-100,0 =  definitely not right; 100 = definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
