study,experiment,n_initial,n_excluded,n,design,design_note,presentation,framing,source,a,b,c,d,pEC,PE_noC,deltaP,power,pC,pE,w_deltaP,Pearce,HPN,support_noisy_or,spport_noisy_and_not,EI,RW,rating,question,scale,anchors,reference,note,comments,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,4,8,0,4,,,0.33,,,,,,,,,,,2.45,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,4,8,0,8,,,0.33,,,,,,,,,,,7.62,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,8,4,0,4,,,0.67,,,,,,,,,,,55.22,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,8,4,0,8,,,0.67,,,,,,,,,,,49.6,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,8,8,0,4,,,0.5,,,,,,,,,,,23.7,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,8,8,0,8,,,0.5,,,,,,,,,,,24.42,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,4,0,4,4,,,0.5,,,,,,,,,,,35.57,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,4,0,4,8,,,0.67,,,,,,,,,,,40.8,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,4,0,8,4,,,0.33,,,,,,,,,,,17.3,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,4,0,8,8,,,0.5,,,,,,,,,,,18.7,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,8,0,4,4,,,0.5,,,,,,,,,,,48.45,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,8,0,4,8,,,0.67,,,,,,,,,,,61.2,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,8,0,8,4,,,0.33,,,,,,,,,,,37.27,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,8,0,8,8,,,0.5,,,,,,,,,,,39.25,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,0,4,4,4,,,-0.5,,,,,,,,,,,-40.75,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,0,4,4,8,,,-0.33,,,,,,,,,,,-29.27,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,0,4,8,4,,,-0.67,,,,,,,,,,,-44.25,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,0,4,8,8,,,-0.5,,,,,,,,,,,-33.65,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,0,8,4,4,,,-0.5,,,,,,,,,,,-49.77,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,0,8,4,8,,,-0.33,,,,,,,,,,,-33.65,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,0,8,8,4,,,-0.67,,,,,,,,,,,-54.27,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),1,,,40,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. In each set, one of the four contingency cells (a, b, c, or d) was set to a frequency of zero, while the frequencies of the other three cells were varied with the values 4 and 8.",simultaneous,bidirectional,Table 2,0,8,8,8,,,-0.5,,,,,,,,,,,-42.67,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,6,3,3,0,,,-0.33,,,,,,,,,,,-11.77,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,6,3,6,0,,,-0.33,,,,,,,,,,,0.79,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,6,6,3,0,,,-0.5,,,,,,,,,,,4.49,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,6,6,6,0,,,-0.5,,,,,,,,,,,-2.18,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,12,3,3,0,,,-0.2,,,,,,,,,,,40,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,12,3,6,0,,,-0.2,,,,,,,,,,,23.38,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,12,6,3,0,,,-0.33,,,,,,,,,,,25.92,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,12,6,6,0,,,-0.33,,,,,,,,,,,10.26,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,6,3,0,6,,,0.67,,,,,,,,,,,41.85,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
