study,experiment,n_initial,n_excluded,n,design,design_note,presentation,framing,source,a,b,c,d,pEC,PE_noC,deltaP,power,pC,pE,w_deltaP,Pearce,HPN,support_noisy_or,spport_noisy_and_not,EI,RW,rating,question,scale,anchors,reference,note,comments,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 3,24,0,8,8,,,.5',,.6,,,,,,,,,60.48,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 3,32,0,4,4,,,.5',,.8,,,,,,,,,79.19,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 3,6,2,8,24,,,.5',,.2,,,,,,,,,19.81,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 3,12,4,6,18,,,.5',,.4,,,,,,,,,35.71,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 3,18,6,4,12,,,.5',,.6,,,,,,,,,43.24,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 3,24,8,2,6,,,.5',,.8,,,,,,,,,44.48,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 3,4,4,0,32,,,.5',,.2,,,,,,,,,37.45,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 3,8,8,0,24,,,.5',,.4,,,,,,,,,37.81,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 3,12,12,0,16,,,.5',,.6,,,,,,,,,19.76,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 3,16,16,0,8,,,.5',,.8,,,,,,,,,13.43,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 4,7,1,28,4,,,0,,.2,,,,,,,,,-6.43,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 4,14,2,21,3,,,0,,.4,,,,,,,,,-3.14,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 4,21,3,14,2,,,0,,.6,,,,,,,,,21.76,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 4,28,4,7,1,,,0,,.8,,,,,,,,,40.69,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 4,6,2,24,8,,,0,,.2,,,,,,,,,-21.05,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 4,12,4,18,6,,,0,,.4,,,,,,,,,-1.21,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 4,18,6,12,4,,,0,,.6,,,,,,,,,13.48,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 4,24,8,6,2,,,0,,.8,,,,,,,,,35.02,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 4,4,4,16,16,,,0,,.2,,,,,,,,,-2.05,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
