study,experiment,condition,n,design,design_note,presentation,framing,source,N_00,N_01,N_10,N_11,pEC,pEnoC,deltaP,power,actual_sample_size,virtual_sample_size,virtual_sample_size_level,published_deltaP,weighted_deltaP,rating,rating_SD,initial_confidence,initial_confidence_SD,final_confidence,final_confidence_SD,confidence,confidence_SD,question,scale,anchors,reference,note
Liljeholm & Cheng (2009),1,E1_G_pow1_Ss64_Vss16,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,generative,Table 1,16,48,0,64,1,0.75,0.25,1,64,16,small,0.25,0.55,53.31,39.71,39.39,22.34,47.62,25.41,47.62,25.41,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),1,E1_P_pow1_Ss64_Vss16,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 1,48,16,64,0,0,0.25,-0.25,1,64,16,small,-0.25,-0.15,79.62,33.61,48.08,22.05,62.89,21.5,62.89,21.5,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),1,E1_G_pow1_Ss64_Vss48,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,generative,Table 1,48,16,0,64,1,0.25,0.75,1,64,48,medium,0.75,0.85,83.65,17.86,64.89,15.14,79.65,9.73,79.65,9.73,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),1,E1_P_pow1_Ss64_Vss48,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 1,16,48,64,0,0,0.75,-0.75,1,64,48,medium,-0.75,-0.45,92.5,11.09,64.81,18.79,84.81,12.53,84.81,12.53,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),1,E1_G_pow1_Ss64_Vss64,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,generative,Table 1,64,0,0,64,1,0,1,1,64,64,large,1,1,98.65,4.37,85,12.81,86.81,14.18,86.81,14.18,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),1,E1_P_pow1_Ss64_Vss64,52,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 1,0,64,64,0,0,1,-1,1,64,64,large,-1,-0.6,98.46,3.09,82.12,16.01,90.65,11.9,90.65,11.9,"Before condition: usefulness/confidence about whether the patient group is useful for determining if the mineral produces/relieves headache. Strength question: What effect does this mineral have on headache? no influence vs produces/relieves; if influence, estimate how many out of 100 counterfactual patients would have/get no headache.",0Ð100 frequency estimate for strength; 0Ð100 confidence scales,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),2,E2_G_pow0p25_Ss16_Vss4,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,generative,Table 2,4,12,3,13,0.8125,0.75,0.0625,0.25,16,4,small,0.06,0.36,8.16,10.3,,,,,52.63,27.81,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),2,E2_P_pow0p25_Ss16_Vss4,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 2,12,4,13,3,0.1875,0.25,-0.0625,0.25,16,4,small,-0.06,0.04,14.47,11.29,,,,,62.89,31.9,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),2,E2_G_pow0p25_Ss16_Vss12,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,generative,Table 2,12,4,9,7,0.4375,0.25,0.1875,0.25,16,12,medium,0.19,0.29,14.37,9.21,,,,,58.95,24.58,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),2,E2_P_pow0p25_Ss16_Vss12,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 2,4,12,7,9,0.5625,0.75,-0.1875,0.25,16,12,medium,-0.19,0.11,15.11,9.43,,,,,64.11,31.57,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),2,E2_G_pow0p25_Ss16_Vss16,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,generative,Table 2,16,0,12,4,0.25,0,0.25,0.25,16,16,large,0.25,0.25,21.84,7.85,,,,,65.26,23.66,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
